country_name,number_of_people_per_medal
San Marino,11310.0
New Zealand,241112.0
Jamaica,329019.0
Bahrain,437479.0
Hungary,483018.0
Georgia,498646.0
Australia,554345.0
Estonia,663268.0
Norway,677655.0
Armenia,740811.0
Cuba,755108.0
Qatar,960351.0
Serbia,970819.0
Czech Republic,973544.0
Great Britain,1044400.0
Sweden,1122141.0
Ireland,1234447.0
"Hong Kong, China",1249497.0
Austria,1286628.0
Belarus,1349903.0
Slovakia,1364911.0
Azerbaijan,1448454.0
Italy,1511546.0
Canada,1572590.0
Belgium,1655660.0
France,1977985.0
North Macedonia,2083374.0
Israel,2163884.0
Dominican Republic,2169582.0
Kyrgyzstan,2174732.0
Japan,2180629.0
Ukraine,2301777.0
Kazakhstan,2347088.0
Namibia,2540905.0
Republic of Korea,2563459.0
Poland,2703329.0
Lithuania,2722289.0
Spain,2750281.0
Finland,2770360.0
United States of America,2929227.0
Republic of Moldova,4033963.0
Romania,4809423.0
Jordan,5101567.0
Kenya,5377130.0
Ecuador,5881018.0
Tunisia,5909310.0
Turkmenistan,6031200.0
Turkey,6487621.0
Uzbekistan,6693841.0
Venezuela,7108985.0
Brazil,1.0121877E7
Colombia,1.0176578E7
Uganda,1.1435252E7
Argentina,1.5065258E7
People's Republic of China,1.6355952E7
Egypt,1.7055734E7
Syrian Arab Republic,1.7500658E7
C̫te d'Ivoire,2.6378274E7
Ethiopia,2.8740897E7
Ghana,3.107294E7
Mexico,3.2233188E7
Thailand,3.4899989E7
Morocco,3.691056E7
India,1.97143484E8
